feature,importance
Pre_election_inten_vote_3. Undecided; DK (except 1964),0.9523379402460563
authoritarian1_1. Curiosity,0.8040543826094062
Interest_elections_3. Very much interested,0.7443092607632101
"Pre_election_inten_vote_1. Democratic candidate (with or without qualifications,",0.6723353412447216
"approve_pres_strength_1. Approve, strongly",0.5744829328965115
Party_id3_1. Democrats (including leaners),0.569224200470025
ideology7_6. Conservative,0.5428589454901899
VCF0717_2. Yes,0.5405954154736474
Family_income_Missing,0.5179185293144597
Family_income_5. 96 to 100 percentile,0.49650995966785194
Party_id7_3. Independent - Democrat,0.4930816576780038
VCF0719_2. Yes,0.4792013428766312
"VCF9030_2. Yes, contact: Republican party",0.4705378112540994
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.4668866030344413
education6_6. BA level degrees; advanced degrees incl. LLB,0.4658968336980977
