feature,importance
therm_ChrFundament,-0.15471229346157264
therm_hispanics,0.11912723930401206
therm_RepParty,-0.13498254366085752
therm_DemParty,-0.2628647538288903
therm_Whites,0.11481761929896495
therm_liberals,0.013939606428105886
therm_conservatives,0.0017985407684254474
therm_Blacks,-0.08776195216223089
Age,0.27461176139630694
meetingCommuntySchool_Missing,0.002733590450685367
meetingCommuntySchool_1. Yes,-0.2926898592961952
meetingCommuntySchool_2. No,0.06931969236244044
workedWithcommunity_Missing,0.10934960648696712
workedWithcommunity_1. Yes,0.002704350882993979
workedWithcommunity_2. No,-0.2474944596295793
authoritarian2_Missing,0.1742248486180679
authoritarian2_1. Obedience,0.004659655036815516
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,-0.09827977604566854
authoritarian4_Missing,-0.013742143674805491
authoritarian4_1. Independence,0.34246069808909885
authoritarian4_2. Both (VOL),-0.26226294586466653
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,-0.004404790755152273
authoritarian1_1. Curiosity,0.05648330617657164
authoritarian1_2. Both (VOL),-0.31265393515617446
authoritarian1_3. Good manners,0.168960649435359
authoritarian3_Missing,-0.013742143674805491
authoritarian3_1. Being considerate,0.49949790974097086
authoritarian3_2. Both (VOL),-0.06765405701840567
authoritarian3_3. Well behaved,-0.1900016586795763
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,0.3752647708212743
have_healthInsurance_2. No,-0.2249488030128906
volunteer_Missing,-0.16676795841350173
volunteer_1. Yes,0.17459431694984992
volunteer_2. No,-0.01817140454301646
VCF0886_Missing,0.12877921869871947
VCF0886_1.   Increased,-0.6875620536320362
VCF0886_2.   Same,0.23040931620644595
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.02562361980838452
VCF0886_8.   DK,0.0
VCF9029_Missing,0.03680585918899938
VCF9029_1. Close race,0.13751790916514461
VCF9029_3. Win by quite a bit,-0.08018105632465192
VCF9029_8. DK; depends,-0.08928244494813678
VCF0890_Missing,-0.05849014388195998
VCF0890_1.   Increased,-0.04965888698792972
VCF0890_2.   Same,0.10141751902029665
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.399907445282205
VCF0890_8.   DK,0.5293121649386426
VCF9031_Missing,0.0
VCF9031_1. Yes,0.2639957399375493
VCF9031_5. No,-0.13540572800578343
VCF9028_Missing,0.01003248690306137
VCF9028_1. Democratic Pres. candidate,-0.11116756416444304
VCF9028_2. Republican Pres. candidate,0.007348123357233076
VCF9028_3. Other Pres. candidate,0.1832380840551642
VCF9028_8. DK,-0.06693400804638443
approve_president_economy_Missing,-0.036426695156911264
approve_president_economy_1. Approve strongly,0.3613624719014247
approve_president_economy_2. Approve not strongly,0.07052969546695526
approve_president_economy_4. Disapprove not strongly,-0.04240830645650787
approve_president_economy_5. Disapprove strongly,-0.22802845455110976
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.17291108717075548
approve_pres_strength_Missing,0.13282627978114195
"approve_pres_strength_1. Approve, strongly",-0.06565241206888997
"approve_pres_strength_2. Approve, not strongly",0.030040342015122935
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",0.20646467942377195
approve_pres_strength_8. DK,-0.31051866650380444
