feature,importance
"Pre_election_inten_vote_4. R does not intend to vote (incl. 'no, qualified' if",-2.045933745387361
Will_PresElectionClose_Missing,-0.5906709657175285
Family_income_1. 0 to 16 percentile,-0.5094445540880747
Interest_elections_1. Not much interested,-0.4577159396585767
ideology7_7. Extremely conservative,-0.42300280950013497
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,-0.3553272392116554
VCF0886_Missing,-0.33876784593700654
workedWithcommunity_Missing,-0.3299251082787179
VCF0718_1. No,-0.32296634803514573
VCF0130_5. Never (1990 and later: 'No' in filter),-0.31994503841549693
VCF0720_1. No,-0.30224814332504546
Party_id7_4. Independent - Independent,-0.29258880848810065
Party_id3_2. Independents,-0.29258880848810065
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,-0.285267186156182
"approve_pres_strength_3. Disapprove, not strongly",-0.2742593226543023
