feature,importance
"Pre_election_inten_vote_4. R does not intend to vote (incl. 'no, qualified' if",-1.903808455141991
Pre_election_inten_vote_Missing,-0.821461188149404
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.6299128820857416
VCF9031_5. No,-0.6297277313726541
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,-0.6264019677805029
authoritarian3_2. Both (VOL),-0.6062276713063847
urbanism_Missing,-0.40401663686564354
Interest_elections_1. Not much interested,-0.397896767107324
approve_president_economy_5. Disapprove strongly,-0.3813424657478379
VCF0130_4. A few times a year,-0.3437224845348129
Family_income_2. 17 to 33 percentile,-0.3358850615130503
VCF0720_1. No,-0.335594144437493
ideology7_5. Slightly conservative,-0.3155826852614034
VCF0718_1. No,-0.2984776767569512
Party_id3_2. Independents,-0.28386566101368466
