feature,importance
ideology7_7. Extremely conservative,0.9612658396086664
"Pre_election_inten_vote_1. Democratic candidate (with or without qualifications,",0.7191705820035519
ideology7_6. Conservative,0.6475294995740983
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.6300998305643464
have_healthInsurance_1. Yes,0.6172283579458694
Pre_election_inten_vote_3. Undecided; DK (except 1964),0.6022816873561494
"Pre_election_inten_vote_2. Republican candidate (with or without qualifications,",0.5672102371769256
authoritarian1_2. Both (VOL),0.5563858178325451
VCF0130_Missing,0.5064781515911102
education7_6. BA level degrees,0.47823212847842633
approve_president_economy_Missing,0.47720314267439895
VCF9028_3. Other Pres. candidate,0.4719695993482557
"approve_pres_strength_4. Disapprove, strongly",0.4516673499924413
Age,0.4205493338782308
Will_PresElectionClose_1. Will win by quite a bit,0.37403736827752265
