feature,importance
"Pre_election_inten_vote_4. R does not intend to vote (incl. 'no, qualified' if",-2.620716067269691
Pre_election_inten_vote_Missing,-0.885844931565047
Interest_elections_1. Not much interested,-0.6208084039867436
Will_PresElectionClose_Missing,-0.5413322146260714
VCF9030_7. No contact,-0.5302003247667277
approve_pres_strength_Missing,-0.522886505350546
Family_income_1. 0 to 16 percentile,-0.5117923851140447
VCF0130_Missing,-0.34780840056836687
VCF0718_Missing,-0.33755859314386966
education6_1. 8 grades or less ('grade school'),-0.33032797786007456
education7_1. 8 grades or less ('grade school'),-0.33032797786007456
"VCF9030_5. Yes, contact: DK which party",-0.3279295266370218
VCF0130_7. No religious preference (1970-1988),-0.32166605504386714
VCF0720_1. No,-0.3131278669712342
Family_income_2. 17 to 33 percentile,-0.29580089592863984
