feature,importance
"Pre_election_inten_vote_1. Democratic candidate (with or without qualifications,",0.8671531534966066
Family_income_2. 17 to 33 percentile,0.8393344632506803
VCF0720_2. Yes,0.7557652532058333
education7_6. BA level degrees,0.7319795041882726
volunteer_1. Yes,0.7204003676500315
VCF9028_1. Democratic Pres. candidate,0.6561889395582678
"approve_pres_strength_4. Disapprove, strongly",0.649585127950701
"VCF9030_2. Yes, contact: Republican party",0.5973305853383567
Age,0.5500498552540213
ideology7_1. Extremely liberal,0.5162186730227614
"VCF9030a_1. Yes, contact by major party",0.5125566475324428
"Pre_election_inten_vote_2. Republican candidate (with or without qualifications,",0.5095288740945375
Party_id3_1. Democrats (including leaners),0.48755328182649443
VCF0719_2. Yes,0.4651962836150604
therm_Blacks,0.4463662354591774
