feature,importance
"Pre_election_inten_vote_4. R does not intend to vote (incl. 'no, qualified' if",-2.2727689268552047
Pre_election_inten_vote_Missing,-0.894459610140838
Will_PresElectionClose_Missing,-0.8160053580551597
ideology7_Missing,-0.5869837855548251
VCF0720_1. No,-0.5049815541738546
Family_income_1. 0 to 16 percentile,-0.4404431702447055
Interest_elections_1. Not much interested,-0.41240901125965
Gender_3. Other (2016),-0.40831647082381917
education7_1. 8 grades or less ('grade school'),-0.3987960372373492
education6_1. 8 grades or less ('grade school'),-0.3987960372373492
workedWithcommunity_Missing,-0.37644455382949543
VCF9029_8. DK; depends,-0.3748793561934286
approve_pres_strength_Missing,-0.3201713156187576
Family_income_2. 17 to 33 percentile,-0.2855129507398604
Party_id3_2. Independents,-0.26763309155354165
