feature,importance
therm_ChrFundament,-0.07698926779545015
therm_hispanics,0.012568970864342157
therm_RepParty,-0.028906596324335156
therm_DemParty,-0.005210458648385404
therm_Whites,-0.07356002475823001
therm_liberals,-0.009679521386269048
therm_conservatives,0.04742247808158177
therm_Blacks,0.07287620824905405
Age,0.4800776351768398
meetingCommuntySchool_Missing,0.37271656372602796
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,-0.16507074073452202
workedWithcommunity_Missing,-0.24164411207292513
workedWithcommunity_1. Yes,0.11285181324454699
workedWithcommunity_2. No,0.0
authoritarian2_Missing,0.0017006362275170481
authoritarian2_1. Obedience,-0.10593055859178302
authoritarian2_2. Both (VOL),0.0848228997531475
authoritarian2_3. Self-reliance,0.06032728256800028
authoritarian4_Missing,0.02201363099933915
authoritarian4_1. Independence,0.010333910556780075
authoritarian4_2. Both (VOL),0.1678611960093653
authoritarian4_3. Respect for elders,-0.19272379744048895
authoritarian1_Missing,0.022852441692285203
authoritarian1_1. Curiosity,0.010149508227844831
authoritarian1_2. Both (VOL),-0.07093437260554061
authoritarian1_3. Good manners,0.09573593942175476
authoritarian3_Missing,0.08274156916348974
authoritarian3_1. Being considerate,0.15544612215838308
authoritarian3_2. Both (VOL),-0.01430171927644103
authoritarian3_3. Well behaved,-0.061774095993167265
have_healthInsurance_Missing,-0.18636570170991293
have_healthInsurance_1. Yes,0.10509984438825551
have_healthInsurance_2. No,0.0
volunteer_Missing,-0.08573091840209472
volunteer_1. Yes,0.21643567498662114
volunteer_2. No,0.0
VCF0886_Missing,-0.03024505018251833
VCF0886_1.   Increased,-0.07682090112564129
VCF0886_2.   Same,0.04912830778945758
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.10498108678468084
VCF0886_8.   DK,-0.22091475688880796
VCF9029_Missing,-0.08346288440262906
VCF9029_1. Close race,-0.02551583933107668
VCF9029_3. Win by quite a bit,0.03695217621691713
VCF9029_8. DK; depends,0.20334530907414936
VCF0890_Missing,0.07467936513497672
VCF0890_1.   Increased,-0.12705881056098506
VCF0890_2.   Same,-0.033001457801106596
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.12847670803417388
VCF0890_8.   DK,-0.01810243751260762
VCF9031_Missing,-0.2830924730145452
VCF9031_1. Yes,0.1579832390711711
VCF9031_5. No,0.0
VCF9028_Missing,0.16856550934092146
VCF9028_1. Democratic Pres. candidate,0.007684006256467163
VCF9028_2. Republican Pres. candidate,-0.07124686200165731
VCF9028_3. Other Pres. candidate,0.17212899693917214
VCF9028_8. DK,-0.06741983868012882
approve_president_economy_Missing,0.08201222206661382
approve_president_economy_1. Approve strongly,0.0936395351158715
approve_president_economy_2. Approve not strongly,0.07248597936754413
approve_president_economy_4. Disapprove not strongly,-0.023523996376936397
approve_president_economy_5. Disapprove strongly,-0.05180201008845128
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,-0.06701613653353479
approve_pres_strength_Missing,-0.14905703591783973
"approve_pres_strength_1. Approve, strongly",0.07364446416366448
"approve_pres_strength_2. Approve, not strongly",0.05019150699075177
"approve_pres_strength_3. Disapprove, not strongly",-0.053570588652927395
"approve_pres_strength_4. Disapprove, strongly",0.1465106884843795
approve_pres_strength_8. DK,-0.007897779413786169
Pre_election_inten_vote_Missing,-0.7354846022943076
"Pre_election_inten_vote_1. Democratic candidate (with or without qualifications,",0.4060224792154418
"Pre_election_inten_vote_2. Republican candidate (with or without qualifications,",0.6189310980741173
Pre_election_inten_vote_3. Undecided; DK (except 1964),0.48106411621486195
"Pre_election_inten_vote_4. R does not intend to vote (incl. 'no, qualified' if",-2.635378552346748
Pre_election_inten_vote_9. Other candidate,0.19641720623309483
Will_PresElectionClose_Missing,-0.34877732567226205
Will_PresElectionClose_1. Will win by quite a bit,0.07005673444549672
Will_PresElectionClose_2. Close race,0.13644363733017262
Will_PresElectionClose_9. DK; pro-con; depends; etc.,0.016782880201992395
ideology7_Missing,-0.027522352851923004
ideology7_1. Extremely liberal,-0.21632669963435056
ideology7_2. Liberal,-0.028451173895440985
ideology7_3. Slightly liberal,0.01179086383458662
"ideology7_4. Moderate, middle of the road",0.01608364443616448
ideology7_5. Slightly conservative,0.0027129707383460335
ideology7_6. Conservative,0.07216392357397283
ideology7_7. Extremely conservative,0.1488547953507677
ideology7_9. DK; haven't thought much about it,-0.1132504292719116
approve_pres_Missing,0.28884241372617026
approve_pres_1. Approve,-0.12490271648339876
approve_pres_2. Disapprove,-0.017192864126997554
approve_pres_8. DK,0.03454497025369519
VCF9030b_Missing,-0.042769111395517076
"VCF9030b_1. Yes, contact by Democratic party",0.12246047686540847
VCF9030b_2. No contact by Democratic party,0.0
VCF9030c_Missing,-0.042769111395517076
"VCF9030c_1. Yes, contact by Republican party",0.04176840722255115
VCF9030c_2. No contact by Republican party,0.014400464184655525
VCF9030a_Missing,0.024287996946410394
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.0
VCF0130_Missing,-0.33444301963132483
VCF0130_1. Every week (Except 1970: almost every week),0.4368897509415596
VCF0130_2. Almost every week (no cases in 1970),0.2800928559627804
VCF0130_3. Once or twice a month,0.06934047574445809
VCF0130_4. A few times a year,-0.05225509988064695
VCF0130_5. Never (1990 and later: 'No' in filter),-0.21969146135613293
VCF9030_Missing,-0.15420490018040048
"VCF9030_1. Yes, contact: Democratic party",0.003092862684911048
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",0.021383182236962183
"VCF9030_4. Yes, contact: other",0.5273063062063544
"VCF9030_5. Yes, contact: DK which party",-0.28858531881917254
"VCF9030_6. Yes, contact: NA which party",0.3592164689117177
VCF9030_7. No contact,-0.46661482157319956
VCF0720_Missing,0.0
VCF0720_1. No,-0.3175951638801681
VCF0720_2. Yes,0.1631069993311865
VCF0721_Missing,-0.0012782290297546183
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.06828515756209792
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.15878605309851168
VCF0719_Missing,0.0
VCF0719_1. No,-0.2443185871603774
VCF0719_2. Yes,0.10414993229633711
VCF0718_Missing,-0.09523953598191445
VCF0718_1. No,0.0
VCF0718_2. Yes,0.38138263889269164
VCF0717_Missing,0.08420587978814112
VCF0717_1. No,-0.38755458693824524
VCF0717_2. Yes,0.051126746783444976
Family_income_Missing,0.00040815170635662205
Family_income_1. 0 to 16 percentile,-0.47026350518925353
Family_income_2. 17 to 33 percentile,-0.284884841169265
Family_income_3. 34 to 67 percentile,0.056630327460801023
Family_income_4. 68 to 95 percentile,0.2717877062396624
Family_income_5. 96 to 100 percentile,0.09320167532918192
Interest_elections_Missing,0.2903000987429761
Interest_elections_1. Not much interested,-0.607310120278074
Interest_elections_2. Somewhat interested,0.0
Interest_elections_3. Very much interested,0.4651278449916047
Interest_elections_9. DK,0.0
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",0.005225400225548337
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",0.18186480104141067
"region_3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC",-0.3263772118988256
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",0.05434535855015634
South_1. South,0.028166184005004452
South_2. Nonsouth,0.004309432219869538
Party_id3_Missing,0.04746350687169022
Party_id3_1. Democrats (including leaners),0.018142001305064208
Party_id3_2. Independents,-0.22423269002579316
Party_id3_3. Republicans (including leaners),0.004067423311960748
Party_id7_Missing,0.04746350687169022
