feature,importance
Gender_Missing,0.8900819366684667
"Pre_election_inten_vote_2. Republican candidate (with or without qualifications,",0.6189310980741173
"VCF9030_4. Yes, contact: other",0.5273063062063544
Party_id7_1. Strong Democrat,0.5000965266098839
Pre_election_inten_vote_3. Undecided; DK (except 1964),0.48106411621486195
Age,0.4800776351768398
Interest_elections_3. Very much interested,0.4651278449916047
VCF0130_1. Every week (Except 1970: almost every week),0.4368897509415596
"Pre_election_inten_vote_1. Democratic candidate (with or without qualifications,",0.4060224792154418
VCF0718_2. Yes,0.38138263889269164
meetingCommuntySchool_Missing,0.37271656372602796
"VCF9030_6. Yes, contact: NA which party",0.3592164689117177
Party_id7_7. Strong Republican,0.34077231072580316
Interest_elections_Missing,0.2903000987429761
approve_pres_Missing,0.28884241372617026
