feature,importance
authoritarian2_1. Obedience,0.6950886371161753
Will_PresElectionClose_2. Close race,0.2981765786379145
approve_president_economy_2. Approve not strongly,0.2897375703799659
VCF9031_5. No,0.2723507433193272
therm_conservatives,0.2233155151715019
VCF0890_1.   Increased,0.21069491602220847
therm_RepParty,0.2061729074055101
Party_id3_3. Republicans (including leaners),0.20251203529528583
authoritarian4_3. Respect for elders,0.20076371779883884
approve_president_economy_4. Disapprove not strongly,0.19887778370076833
Gender_1. Male,0.19876333797480608
VCF0130_5. Never (1990 and later: 'No' in filter),0.19851691748195507
Interest_elections_1. Not much interested,0.1909229336381046
Party_id7_5. Independent - Republican,0.1779317737623876
therm_DemParty,0.15694936984474123
