feature,importance
approve_president_economy_1. Approve strongly,-0.695670283096625
VCF9029_3. Win by quite a bit,-0.43519970005885894
Will_PresElectionClose_1. Will win by quite a bit,-0.4051664313122706
Gender_2. Female,-0.30238786411612006
therm_Blacks,-0.2060962075303594
therm_liberals,-0.1370826898398511
education7_6. BA level degrees,-0.12703118180880604
Party_id3_1. Democrats (including leaners),-0.12341591171309167
Family_income_4. 68 to 95 percentile,-0.11925551448509294
therm_hispanics,-0.10505636900706708
VCF9028_2. Republican Pres. candidate,-0.10377411872105564
approve_pres_1. Approve,-0.09313671896631168
authoritarian2_3. Self-reliance,-0.08223749774294478
Party_id7_1. Strong Democrat,-0.060457371801044546
Party_id7_7. Strong Republican,-0.057672057668649676
