feature,importance
"Education4_2. High school (12 grades or fewer, incl. non-college",0.2497950772068497
therm_DemParty,0.13301625621814592
Family_income_1. 0 to 16 percentile,0.12319516753940307
Interest_elections_2. Somewhat interested,0.06211397999241236
VCF0720_1. No,0.032995460992095535
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.032101577382706734
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.03097165833532552
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.03097165833532552
Party_id7_6. Weak Republican,0.02479798985339921
ideology7_2. Liberal,0.02461527011654291
Party_id3_3. Republicans (including leaners),0.015784225474936832
VCF0717_2. Yes,0.0
VCF0718_1. No,0.0
Family_income_2. 17 to 33 percentile,0.0
VCF0719_2. Yes,0.0
