feature,importance
VCF0130_2. Almost every week (no cases in 1970),-1.472406849346555
"VCF9030_1. Yes, contact: Democratic party",-0.7717527726578955
VCF0717_2. Yes,-0.6960428091786555
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.6555981952283897
Age,-0.6230109915464959
authoritarian4_2. Both (VOL),-0.6077132987306381
have_healthInsurance_1. Yes,-0.55268442540922
ideology7_1. Extremely liberal,-0.5278402863877709
"VCF9030_2. Yes, contact: Republican party",-0.4379158503950702
Family_income_4. 68 to 95 percentile,-0.4209326203049638
"education6_5. Some college, no degree; junior/community college",-0.3826942456679753
"education7_5. Some college, no degree; junior/community college",-0.3826942456679753
education7_6. BA level degrees,-0.37089334038561816
Will_PresElectionClose_2. Close race,-0.36365734459585414
Party_id7_7. Strong Republican,-0.35517669630729076
