feature,importance
VCF0130_5. Never (1990 and later: 'No' in filter),1.0572298884964366
Interest_elections_1. Not much interested,0.9851184168672354
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.5204861294626266
education7_1. 8 grades or less ('grade school'),0.5204861294626266
education6_1. 8 grades or less ('grade school'),0.5204861294626266
VCF9030c_2. No contact by Republican party,0.5177556073080176
Family_income_1. 0 to 16 percentile,0.42633987152156133
therm_Blacks,0.3968447731679451
VCF0890_1.   Increased,0.37803721347016234
VCF0718_1. No,0.33408425756091786
therm_liberals,0.312418156217991
Family_income_2. 17 to 33 percentile,0.28840618375185956
Party_id7_4. Independent - Independent,0.21932654134988167
Party_id3_2. Independents,0.21932654134988167
VCF0130_4. A few times a year,0.1969145945862271
