feature,importance
Party_id7_1. Strong Democrat,-1.211691943125106
Family_income_3. 34 to 67 percentile,-0.8803583851631203
"approve_pres_strength_1. Approve, strongly",-0.7468539752957495
volunteer_1. Yes,-0.7184039315809085
authoritarian1_1. Curiosity,-0.6804397275084011
Age,-0.6566927977732294
Interest_elections_3. Very much interested,-0.6141535335247275
"ideology7_4. Moderate, middle of the road",-0.4404103058183123
Family_income_4. 68 to 95 percentile,-0.4076156703564333
"education6_5. Some college, no degree; junior/community college",-0.33857181087850596
"education7_5. Some college, no degree; junior/community college",-0.33857181087850596
Will_PresElectionClose_1. Will win by quite a bit,-0.295471052243119
meetingCommuntySchool_1. Yes,-0.29416395625186126
authoritarian2_3. Self-reliance,-0.2561244130813754
Party_id3_1. Democrats (including leaners),-0.2320249754432262
