feature,importance
Interest_elections_1. Not much interested,1.0499705436319995
meetingCommuntySchool_2. No,0.8615817171574097
VCF0130_4. A few times a year,0.7463280692728744
ideology7_2. Liberal,0.6254640189123218
approve_president_economy_2. Approve not strongly,0.5166044938726052
authoritarian1_3. Good manners,0.47346134978985355
VCF0130_5. Never (1990 and later: 'No' in filter),0.44857051103945256
approve_president_economy_4. Disapprove not strongly,0.3490444854507547
VCF9030_7. No contact,0.34697153880995196
Family_income_2. 17 to 33 percentile,0.27962894108176345
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.25034798591557983
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.24845969467455187
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.24845969467455187
VCF0718_1. No,0.23550668717228707
Party_id3_2. Independents,0.23324145554337733
