feature,importance
VCF0130_2. Almost every week (no cases in 1970),-0.9218559564760426
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.8404251362047729
ideology7_1. Extremely liberal,-0.6318124478392544
"VCF9030_1. Yes, contact: Democratic party",-0.6169418123086976
VCF0717_2. Yes,-0.6150182385272379
Age,-0.611964130446964
have_healthInsurance_1. Yes,-0.4803496079422612
workedWithcommunity_1. Yes,-0.47750590845259583
"VCF9030_2. Yes, contact: Republican party",-0.47325513772055655
Family_income_5. 96 to 100 percentile,-0.417048961972492
Family_income_4. 68 to 95 percentile,-0.40819226145546594
"education7_5. Some college, no degree; junior/community college",-0.37972461888801057
"education6_5. Some college, no degree; junior/community college",-0.37972461888801057
VCF0130_3. Once or twice a month,-0.3769547404361981
meetingCommuntySchool_1. Yes,-0.3403409407143224
