feature,importance
VCF0130_4. A few times a year,1.0911824867534226
VCF9030_7. No contact,0.5842396098991646
VCF0130_5. Never (1990 and later: 'No' in filter),0.5823538058625956
volunteer_2. No,0.518395858599219
"approve_pres_strength_3. Disapprove, not strongly",0.37497414296745596
therm_RepParty,0.36576853103841794
Party_id7_2. Weak Democrat,0.3560114121081958
Family_income_2. 17 to 33 percentile,0.31676823554925737
VCF0890_1.   Increased,0.31018429741278275
VCF0718_1. No,0.2934015160028281
authoritarian1_3. Good manners,0.293124695486299
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.2841930253940497
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.2841930253940497
VCF0717_1. No,0.23904067915011612
Party_id3_2. Independents,0.22710362296752967
