feature,importance
therm_ChrFundament,-0.14380760562302392
therm_hispanics,0.1149358242336707
therm_RepParty,0.09261588209006978
therm_DemParty,0.005309115818376333
therm_Whites,-0.21367461697821072
therm_liberals,0.16279193007929288
therm_conservatives,0.4864022755765097
therm_Blacks,0.2701438042916181
Age,-0.43261693517628474
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,-0.13857673628639383
workedWithcommunity_2. No,0.01304128041901865
authoritarian2_Missing,0.005021389271040815
authoritarian2_1. Obedience,-0.010103229037548548
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,-0.1444350331429181
authoritarian4_Missing,0.005021389271040815
authoritarian4_1. Independence,0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,0.005021389271040815
authoritarian1_1. Curiosity,0.010973241770996964
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.022921602287654753
authoritarian3_Missing,0.005021389271040815
authoritarian3_1. Being considerate,-0.038851286770118176
authoritarian3_2. Both (VOL),0.0
authoritarian3_3. Well behaved,-0.05463500848757994
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,-0.34613671486440045
have_healthInsurance_2. No,0.10231481684016064
volunteer_Missing,-0.01107050315756597
volunteer_1. Yes,-0.23511722128293494
volunteer_2. No,0.802374358319509
VCF0886_Missing,-0.01107050315756597
VCF0886_1.   Increased,0.16425003514620395
VCF0886_2.   Same,-0.06730172118958402
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_Missing,0.0
VCF9029_1. Close race,0.0
VCF9029_3. Win by quite a bit,0.0
VCF9029_8. DK; depends,0.0
VCF0890_Missing,-0.0017408405762213371
VCF0890_1.   Increased,0.26062100999870796
VCF0890_2.   Same,-0.02439077042479961
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9031_Missing,0.0
VCF9031_1. Yes,0.15028644817849734
VCF9031_5. No,-0.1634371700274711
VCF9028_Missing,0.0
VCF9028_1. Democratic Pres. candidate,0.07965807819565288
VCF9028_2. Republican Pres. candidate,-0.053622396017528676
VCF9028_8. DK,0.0
approve_president_economy_Missing,0.0
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,0.0
approve_president_economy_4. Disapprove not strongly,0.0
approve_president_economy_5. Disapprove strongly,0.05589389505296051
approve_pres_strength_Missing,0.0
"approve_pres_strength_1. Approve, strongly",-0.1374182587061264
"approve_pres_strength_2. Approve, not strongly",0.00014838581605178597
"approve_pres_strength_3. Disapprove, not strongly",0.35615377261945763
"approve_pres_strength_4. Disapprove, strongly",-0.06862332486257021
Will_PresElectionClose_1. Will win by quite a bit,0.10075620729372356
Will_PresElectionClose_2. Close race,-0.08113218411185605
Will_PresElectionClose_9. DK; pro-con; depends; etc.,0.0
ideology7_Missing,0.024442616506116507
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.0
ideology7_3. Slightly liberal,-0.12394384182780342
"ideology7_4. Moderate, middle of the road",-0.09473197884597874
ideology7_5. Slightly conservative,-0.0021034757836850674
ideology7_6. Conservative,0.0
ideology7_7. Extremely conservative,0.0
ideology7_9. DK; haven't thought much about it,0.9578197242011004
approve_pres_Missing,0.0
approve_pres_1. Approve,-0.020210036304986405
approve_pres_2. Disapprove,0.0
VCF9030b_Missing,-0.013610613198288865
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.1273171431592595
VCF9030c_Missing,-0.013610613198288865
"VCF9030c_1. Yes, contact by Republican party",-0.0022102303885220232
VCF9030c_2. No contact by Republican party,0.157784271428091
VCF9030a_Missing,0.0
"VCF9030a_1. Yes, contact by major party",0.006886441793347763
VCF9030a_2. No contact by major party,0.0
VCF0130_Missing,0.0
VCF0130_1. Every week (Except 1970: almost every week),-0.014987990801423092
VCF0130_2. Almost every week (no cases in 1970),0.0
VCF0130_3. Once or twice a month,0.0
VCF0130_4. A few times a year,-0.0292564588972484
VCF0130_5. Never (1990 and later: 'No' in filter),0.14581074508008812
VCF9030_Missing,0.0
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",0.0
"VCF9030_4. Yes, contact: other",0.0
"VCF9030_5. Yes, contact: DK which party",0.0
VCF9030_7. No contact,-0.02013536343264819
VCF0720_Missing,0.0
VCF0720_1. No,0.0
VCF0720_2. Yes,0.0
VCF0721_Missing,0.0
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.0
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.0
VCF0719_Missing,0.0
