feature,importance
therm_ChrFundament,-0.18039572562584077
therm_hispanics,0.1247917963422378
therm_RepParty,0.11794597702004439
therm_DemParty,0.015309871808855697
therm_Whites,-0.005900116170978771
therm_liberals,-0.3359878858753834
therm_conservatives,-0.028583623748619162
therm_Blacks,-0.21517980476982176
Age,-0.807569095836115
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,-0.12073329186152762
meetingCommuntySchool_2. No,0.09424349633095427
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,-0.4114775000466205
workedWithcommunity_2. No,0.294680781232689
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.0
authoritarian4_Missing,0.0
authoritarian4_1. Independence,-0.10597181717558653
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.035023166311915814
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,-0.7247983315335709
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.4290754034986257
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,0.07522616195571288
authoritarian3_2. Both (VOL),-0.042953271880019316
authoritarian3_3. Well behaved,0.07647408659986028
have_healthInsurance_Missing,0.1700066765901847
have_healthInsurance_1. Yes,-0.0178549925810502
have_healthInsurance_2. No,-0.022709433945937232
volunteer_Missing,0.0
volunteer_1. Yes,-0.17800276723114608
volunteer_2. No,0.09672565175233924
VCF0886_Missing,0.0
VCF0886_1.   Increased,-0.05291646040399989
VCF0886_2.   Same,0.05779385792261691
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_Missing,0.0
VCF9029_1. Close race,-0.004070590831264415
VCF9029_3. Win by quite a bit,-0.17222067772716038
VCF9029_8. DK; depends,0.04718863824218001
VCF0890_Missing,0.0
VCF0890_1.   Increased,0.9926735949084285
VCF0890_2.   Same,-0.40179893439832226
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.11375818340597288
VCF9031_Missing,0.0
VCF9031_1. Yes,-0.10219787094059003
VCF9031_5. No,0.0
VCF9028_Missing,0.15855161033286838
VCF9028_1. Democratic Pres. candidate,-0.03184341557415016
VCF9028_2. Republican Pres. candidate,0.01912893421650642
VCF9028_3. Other Pres. candidate,0.0
VCF9028_8. DK,-0.030426559924731984
approve_president_economy_Missing,0.0
approve_president_economy_1. Approve strongly,-0.20418176396064291
approve_president_economy_2. Approve not strongly,0.629815863594527
approve_president_economy_4. Disapprove not strongly,-0.20569777292401442
approve_president_economy_5. Disapprove strongly,0.13727588552358375
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
approve_pres_strength_Missing,0.0
"approve_pres_strength_1. Approve, strongly",-0.6663556446853981
"approve_pres_strength_2. Approve, not strongly",0.44552697831756227
"approve_pres_strength_3. Disapprove, not strongly",0.0
"approve_pres_strength_4. Disapprove, strongly",-0.02120616421941119
Will_PresElectionClose_Missing,0.0
Will_PresElectionClose_1. Will win by quite a bit,0.22540514654543772
Will_PresElectionClose_2. Close race,-0.07281673572133443
Will_PresElectionClose_9. DK; pro-con; depends; etc.,-0.011529696031313989
ideology7_Missing,0.0
ideology7_2. Liberal,0.060813197749814994
ideology7_3. Slightly liberal,-0.1440487153554399
"ideology7_4. Moderate, middle of the road",0.026259045830699712
ideology7_5. Slightly conservative,0.0
ideology7_6. Conservative,-0.051915819521656005
ideology7_7. Extremely conservative,0.0
ideology7_9. DK; haven't thought much about it,-0.10078542538077417
approve_pres_Missing,-0.022960550706175795
approve_pres_1. Approve,-0.11009068171625418
approve_pres_2. Disapprove,-0.057943336477840224
approve_pres_8. DK,0.0757267886820263
VCF9030b_Missing,0.07404372817926652
"VCF9030b_1. Yes, contact by Democratic party",-0.04192612627370663
VCF9030b_2. No contact by Democratic party,0.0
VCF9030c_Missing,0.07404372817926652
"VCF9030c_1. Yes, contact by Republican party",-0.36955973698733213
VCF9030c_2. No contact by Republican party,0.019354168390072164
VCF9030a_Missing,-0.014091945461835231
"VCF9030a_1. Yes, contact by major party",-0.20656339242662689
VCF9030a_2. No contact by major party,0.09709265129984103
VCF0130_Missing,-0.01884823050059516
VCF0130_1. Every week (Except 1970: almost every week),-0.38767997549299854
VCF0130_2. Almost every week (no cases in 1970),-0.11561305142149096
VCF0130_3. Once or twice a month,-0.1333549862784071
VCF0130_4. A few times a year,1.3651099264662263
VCF0130_5. Never (1990 and later: 'No' in filter),0.3130343255060074
VCF9030_Missing,-0.014091945461835231
"VCF9030_1. Yes, contact: Democratic party",-0.06448428677714993
