feature,importance
VCF0130_4. A few times a year,1.0363827191664279
VCF0890_1.   Increased,0.7812800587266095
volunteer_2. No,0.6120473094206178
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.6038409184320075
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.6038409184320075
Will_PresElectionClose_1. Will win by quite a bit,0.4998498480661303
Family_income_1. 0 to 16 percentile,0.49786012770051197
Party_id7_6. Weak Republican,0.43035143376119966
therm_RepParty,0.2945202701624063
VCF0717_1. No,0.29250025667328095
VCF0718_1. No,0.25812066232017983
Family_income_2. 17 to 33 percentile,0.22388152964344007
Party_id7_2. Weak Democrat,0.2119129520446088
therm_hispanics,0.20433537013844863
therm_conservatives,0.2042013763145086
