feature,importance
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.8040185948237324
ideology7_3. Slightly liberal,-0.6422228759570938
Party_id7_7. Strong Republican,-0.5917780035600029
Age,-0.5548108588714078
have_healthInsurance_1. Yes,-0.5512315530418985
workedWithcommunity_1. Yes,-0.548592782747978
"approve_pres_strength_1. Approve, strongly",-0.5184663130025434
therm_liberals,-0.476324893762088
Gender_2. Female,-0.45743421173865295
VCF0717_2. Yes,-0.4349577250508287
"education7_5. Some college, no degree; junior/community college",-0.4144118060138028
"education6_5. Some college, no degree; junior/community college",-0.4144118060138028
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.41357423449032166
approve_president_economy_4. Disapprove not strongly,-0.3827171499682481
"VCF9030c_1. Yes, contact by Republican party",-0.35381218171664264
