feature,importance
"VCF9030_3. Yes, contact: both major parties",-0.8791565734779825
"Education4_2. High school (12 grades or fewer, incl. non-college",-0.643376232232445
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",-0.63326636806746
approve_president_economy_4. Disapprove not strongly,-0.5514783233384603
Family_income_1. 0 to 16 percentile,-0.5261990814482478
authoritarian1_3. Good manners,-0.5114820112386628
VCF0717_1. No,-0.481889924825904
Party_id3_2. Independents,-0.47067661320859794
Party_id7_4. Independent - Independent,-0.47067661320859794
therm_RepParty,-0.42180197737799097
VCF0130_3. Once or twice a month,-0.39405183183068015
have_healthInsurance_2. No,-0.29831721956598367
VCF0719_1. No,-0.2505405415137153
therm_liberals,-0.24823307280303047
VCF0890_1.   Increased,-0.23343378432705478
