feature,importance
Family_income_4. 68 to 95 percentile,1.1366666894703066
authoritarian1_1. Curiosity,0.9853648384074688
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",0.8373141923756833
education6_6. BA level degrees; advanced degrees incl. LLB,0.7050356677302381
Education4_4. College or advanced degree (no cases 1948),0.7050356677302381
VCF0717_2. Yes,0.6174202890902352
ideology7_5. Slightly conservative,0.5931397628993984
Age,0.5886750537847896
therm_DemParty,0.5704041856535649
"VCF9030_1. Yes, contact: Democratic party",0.5020019464723596
meetingCommuntySchool_1. Yes,0.4560707911944254
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.4272080064346856
have_healthInsurance_1. Yes,0.4063440016334667
VCF0130_1. Every week (Except 1970: almost every week),0.4007219878858537
VCF0719_2. Yes,0.3654619511448257
