feature,importance
Party_id7_1. Strong Democrat,1.0818120157591364
"approve_pres_strength_4. Disapprove, strongly",0.5686971124493867
have_healthInsurance_Missing,0.48662120621398497
Family_income_1. 0 to 16 percentile,0.4802444496010704
Interest_elections_3. Very much interested,0.4750514963983522
Age,0.46926670473810217
ideology7_1. Extremely liberal,0.4397426371771839
VCF0886_2.   Same,0.3928873004471843
"VCF9030_1. Yes, contact: Democratic party",0.3753509809774721
approve_president_economy_1. Approve strongly,0.37421095479705774
VCF0890_2.   Same,0.3704912383712649
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.3688475947604414
Family_income_3. 34 to 67 percentile,0.29476337527241847
VCF0130_1. Every week (Except 1970: almost every week),0.29297311163081574
authoritarian4_1. Independence,0.268325185653601
