feature,importance
Party_id7_7. Strong Republican,0.541205266566247
Age,0.5347823571494205
education7_7. Advanced degrees incl. LLB,0.46863390876057576
VCF0718_1. No,0.3858337869528773
approve_president_economy_Missing,0.38503567814021417
education7_Missing,0.38213110133211925
Education4_Missing,0.38213110133211925
education6_Missing,0.38213110133211925
ideology7_2. Liberal,0.3630426892133658
Party_id7_1. Strong Democrat,0.3574572893760922
VCF0720_2. Yes,0.3480343866616157
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.34595088637770016
Interest_elections_3. Very much interested,0.3047649037765364
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",0.2951067197919575
VCF0717_2. Yes,0.28773138388692343
