feature,importance
ideology7_6. Conservative,0.9906999825916125
ideology7_7. Extremely conservative,0.9196944103592297
Age,0.7040374943798803
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.5581360497758587
VCF0130_1. Every week (Except 1970: almost every week),0.5461605987739988
have_healthInsurance_1. Yes,0.5154522635839319
authoritarian3_3. Well behaved,0.5142489999854759
VCF0717_2. Yes,0.4567571078873036
authoritarian2_2. Both (VOL),0.44928294264812446
therm_Blacks,0.40403830588349077
education7_6. BA level degrees,0.37479335733891705
"approve_pres_strength_4. Disapprove, strongly",0.33536134291838626
authoritarian4_1. Independence,0.3340326582203043
Party_id7_1. Strong Democrat,0.3066240369301663
Education4_3. Some college (13 grades or more but no degree;,0.3055229909961829
