feature,importance
Party_id7_7. Strong Republican,-0.6190807188789531
Interest_elections_3. Very much interested,-0.5626863534358769
Party_id7_1. Strong Democrat,-0.5272890556730256
Age,-0.45051894861882713
VCF0130_1. Every week (Except 1970: almost every week),-0.4253500597449137
Education4_4. College or advanced degree (no cases 1948),-0.39887173783673735
education6_6. BA level degrees; advanced degrees incl. LLB,-0.39887173783673735
VCF0886_2.   Same,-0.35856579405438394
ideology7_2. Liberal,-0.35326819081010663
Will_PresElectionClose_2. Close race,-0.3446874734560734
Family_income_5. 96 to 100 percentile,-0.3140260927086672
"approve_pres_strength_4. Disapprove, strongly",-0.3051936907242081
Family_income_4. 68 to 95 percentile,-0.2716727366164181
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",-0.26822137723704803
VCF0130_2. Almost every week (no cases in 1970),-0.25195091457696134
