feature,importance
Interest_elections_1. Not much interested,0.7338376226697216
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.62196124555805
authoritarian3_2. Both (VOL),0.39853011517707315
education7_1. 8 grades or less ('grade school'),0.3726359343189228
education6_1. 8 grades or less ('grade school'),0.3726359343189228
VCF0720_1. No,0.3674794671185715
Party_id7_4. Independent - Independent,0.3477515882400063
Party_id3_2. Independents,0.3477515882400063
VCF0718_1. No,0.3136038375939664
VCF0130_4. A few times a year,0.3119739886891794
VCF0717_1. No,0.3115191953128623
"ideology7_4. Moderate, middle of the road",0.2705778365810878
workedWithcommunity_2. No,0.23975854542258146
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",0.22879373499531575
ideology7_5. Slightly conservative,0.21601166164671884
