feature,importance
VCF0720_1. No,0.6198820562467969
Gender_3. Other (2016),0.5671948145737101
Interest_elections_1. Not much interested,0.5463403130207911
Family_income_1. 0 to 16 percentile,0.5058635219972286
Party_id3_2. Independents,0.3215581702859261
Party_id7_4. Independent - Independent,0.3215581702859261
Family_income_2. 17 to 33 percentile,0.2853691313286952
education7_1. 8 grades or less ('grade school'),0.2733293626662815
education6_1. 8 grades or less ('grade school'),0.2733293626662815
Party_id7_3. Independent - Democrat,0.26942885829881436
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.25606777285150195
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.25606777285150195
VCF9030_7. No contact,0.18786023778194186
meetingCommuntySchool_2. No,0.17422122327920855
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.14136743068009397
