feature,importance
Family_income_2. 17 to 33 percentile,0.9046180481965898
ideology7_7. Extremely conservative,0.7433079581339462
have_healthInsurance_2. No,0.677989601706848
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",0.5841673599946468
ideology7_2. Liberal,0.5552373440059961
"VCF9030_3. Yes, contact: both major parties",0.5160535670782294
"Education4_2. High school (12 grades or fewer, incl. non-college",0.39553900999468417
authoritarian1_2. Both (VOL),0.3819484325664997
VCF0886_1.   Increased,0.3783755707655222
VCF9030_7. No contact,0.3528941253439294
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.3086034699523094
VCF0130_4. A few times a year,0.28388763131087147
therm_ChrFundament,0.2740017894625044
authoritarian4_2. Both (VOL),0.25962472905760237
Will_PresElectionClose_2. Close race,0.23090384201087985
