feature,importance
Party_id7_1. Strong Democrat,-1.1725427605921173
ideology7_1. Extremely liberal,-0.6089651523722152
"approve_pres_strength_4. Disapprove, strongly",-0.6079975878653804
ideology7_5. Slightly conservative,-0.55122872852633
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.49441018051723284
authoritarian3_1. Being considerate,-0.46403195855950374
"VCF9030_1. Yes, contact: Democratic party",-0.4434540754676678
VCF0886_2.   Same,-0.4263889505944718
VCF0718_2. Yes,-0.39709662502794735
Party_id7_7. Strong Republican,-0.37639674424838393
Interest_elections_3. Very much interested,-0.32266336781610266
Party_id3_1. Democrats (including leaners),-0.30933671221632364
Age,-0.3083337948893126
Family_income_3. 34 to 67 percentile,-0.305832523943396
authoritarian4_1. Independence,-0.2734674126023071
