feature,importance
Party_id7_1. Strong Democrat,-0.6633277393361116
VCF0719_1. No,-0.6280123633285299
Family_income_4. 68 to 95 percentile,-0.5389871662278105
Party_id3_1. Democrats (including leaners),-0.537266091134199
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",-0.5315930186527611
authoritarian1_1. Curiosity,-0.4944978522936026
VCF0130_1. Every week (Except 1970: almost every week),-0.4401499709422721
"VCF9030_4. Yes, contact: other",-0.36173374908345723
VCF0718_2. Yes,-0.3339737708293462
Age,-0.2949174812131916
approve_president_economy_2. Approve not strongly,-0.2832726876193948
Will_PresElectionClose_2. Close race,-0.24694310115906953
"ideology7_4. Moderate, middle of the road",-0.24688648852166528
Family_income_3. 34 to 67 percentile,-0.23644602155382044
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.23349358381112179
