feature,importance
therm_ChrFundament,0.05830991914861468
therm_hispanics,-0.027815252944100123
therm_RepParty,0.06087764455147952
therm_DemParty,-0.01692275333577568
therm_Whites,-0.013158496589183933
therm_liberals,0.06543445735776521
therm_conservatives,-0.029149158129331065
therm_Blacks,0.048582217274457266
Age,-0.5013825917563401
meetingCommuntySchool_1. Yes,-0.03456429819794814
meetingCommuntySchool_2. No,0.28589045340357566
workedWithcommunity_1. Yes,0.08726834661504504
workedWithcommunity_2. No,0.00398607857504628
authoritarian2_1. Obedience,0.08670118712171404
authoritarian2_2. Both (VOL),-0.2615966362843551
authoritarian2_3. Self-reliance,0.02561736337393939
authoritarian4_1. Independence,-0.061623376480265765
authoritarian4_2. Both (VOL),-0.005817791255393884
authoritarian4_3. Respect for elders,-0.060846142527776745
authoritarian1_1. Curiosity,-0.12696713170841337
authoritarian1_2. Both (VOL),0.014774886946874566
authoritarian1_3. Good manners,-0.027361407175108442
authoritarian3_1. Being considerate,-0.13863220532328502
authoritarian3_2. Both (VOL),-0.11931904144220754
authoritarian3_3. Well behaved,0.17489042308516253
have_healthInsurance_1. Yes,-0.10529745052018394
have_healthInsurance_2. No,0.019101720070837484
volunteer_1. Yes,0.15458530508792678
volunteer_2. No,-0.02955770506376363
VCF0886_1.   Increased,0.274705943749671
VCF0886_2.   Same,-0.18538819136230505
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.14454508241449796
VCF9029_1. Close race,-0.025394494400150958
VCF9029_3. Win by quite a bit,0.04272318596505283
VCF0890_1.   Increased,0.12534972073252915
VCF0890_2.   Same,0.3416862606529537
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.07409959930478095
VCF9031_1. Yes,-0.09799734124984487
VCF9031_5. No,0.023292625102373753
VCF9028_1. Democratic Pres. candidate,0.01404650943574963
VCF9028_2. Republican Pres. candidate,-0.06742972802059298
VCF9028_3. Other Pres. candidate,0.08356046471126402
approve_president_economy_1. Approve strongly,-0.037884124773920384
approve_president_economy_2. Approve not strongly,-0.126901091398798
approve_president_economy_4. Disapprove not strongly,0.028429797155171344
approve_president_economy_5. Disapprove strongly,0.12217272401951056
"approve_pres_strength_1. Approve, strongly",0.1572402554850163
"approve_pres_strength_2. Approve, not strongly",-0.01710321278683653
"approve_pres_strength_3. Disapprove, not strongly",0.38912027532898885
"approve_pres_strength_4. Disapprove, strongly",-0.21399574563710538
Will_PresElectionClose_1. Will win by quite a bit,0.14430486924499458
Will_PresElectionClose_2. Close race,-0.09431336493745257
ideology7_1. Extremely liberal,0.3875598962252632
ideology7_2. Liberal,-0.3583750604436525
ideology7_3. Slightly liberal,-0.20218383879137444
"ideology7_4. Moderate, middle of the road",0.01948918179378855
ideology7_5. Slightly conservative,0.14929425709792504
ideology7_6. Conservative,-0.10122052503406329
ideology7_7. Extremely conservative,-0.03891420408748775
approve_pres_1. Approve,0.0
approve_pres_2. Disapprove,0.0
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.13116377068019394
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.23171524330898086
"VCF9030a_1. Yes, contact by major party",-0.15528812696580965
VCF9030a_2. No contact by major party,0.04172902253997123
VCF0130_1. Every week (Except 1970: almost every week),-0.27613019194629074
VCF0130_2. Almost every week (no cases in 1970),-0.02085201156212548
VCF0130_3. Once or twice a month,0.04382122834552525
VCF0130_4. A few times a year,0.2719503668787428
VCF0130_5. Never (1990 and later: 'No' in filter),0.23769560066144474
VCF0130_7. No religious preference (1970-1988),-0.05763591820626699
"VCF9030_1. Yes, contact: Democratic party",0.0
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",-0.01994273447034221
"VCF9030_4. Yes, contact: other",0.7940289986400559
VCF9030_7. No contact,-0.05766269512170957
VCF0720_1. No,0.08593150888727
VCF0720_2. Yes,-0.2734750285478356
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",0.06656740819540986
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.36498472334045323
VCF0719_1. No,-0.10433455982135054
VCF0719_2. Yes,0.013939770788056005
VCF0718_1. No,-0.42779919784998655
VCF0718_2. Yes,0.11744028198676867
VCF0717_1. No,0.08609351391708994
VCF0717_2. Yes,-0.3013395049837754
Family_income_1. 0 to 16 percentile,0.15472715110649757
Family_income_2. 17 to 33 percentile,0.014368470334638103
Family_income_3. 34 to 67 percentile,-0.094313633325611
Family_income_4. 68 to 95 percentile,-0.23332930960617482
Family_income_5. 96 to 100 percentile,-0.016782927925129133
Interest_elections_1. Not much interested,0.29590559216244844
Interest_elections_2. Somewhat interested,0.0677699391987432
Interest_elections_3. Very much interested,-0.320174011504539
South_1. South,0.021052215910640784
South_2. Nonsouth,-0.10845735043271745
"region_1. Northeast (CT, ME, MA, NH, NJ, NY, PA, RI, VT)",0.03188495979517338
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",-0.13888365825353916
"region_3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC",0.15511190009262527
"region_4. West (AK, AZ, CA, CO, HI, ID, MT, NV, NM, OR, UT, WA,",-0.06383746494437674
Party_id7_1. Strong Democrat,-0.3678591552094455
Party_id7_2. Weak Democrat,-0.03228254978470093
Party_id7_3. Independent - Democrat,0.19061840322399687
Party_id7_4. Independent - Independent,0.29174659391998875
Party_id7_5. Independent - Republican,0.09267935657317221
Party_id7_6. Weak Republican,0.3190656121886367
Party_id7_7. Strong Republican,-0.4902292422793909
Party_id3_1. Democrats (including leaners),-0.08875261442509322
Party_id3_2. Independents,0.29174659391998875
Party_id3_3. Republicans (including leaners),4.864979759801048e-05
education6_1. 8 grades or less ('grade school'),0.33507046900529025
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",0.322621632089781
"education6_3. 12 grades, diploma or equivalency",-0.005548718711678624
"education6_4. 12 grades, diploma or equivalency plus non-academic",0.17553750225997827
