feature,importance
VCF0130_1. Every week (Except 1970: almost every week),-0.5924881804008788
VCF0130_2. Almost every week (no cases in 1970),-0.44817041720844575
Age,-0.4387994053688521
Family_income_5. 96 to 100 percentile,-0.4262094321712925
Education4_4. College or advanced degree (no cases 1948),-0.3747015199178062
education6_6. BA level degrees; advanced degrees incl. LLB,-0.3747015199178062
VCF0718_2. Yes,-0.35388154913996517
VCF0717_2. Yes,-0.32895094109882284
Family_income_4. 68 to 95 percentile,-0.3075768929117234
Interest_elections_3. Very much interested,-0.30733426156441845
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.3006551593069445
Party_id7_7. Strong Republican,-0.26725399423390195
authoritarian4_2. Both (VOL),-0.25667352855027137
"education6_5. Some college, no degree; junior/community college",-0.22082376811688037
"education7_5. Some college, no degree; junior/community college",-0.22082376811688037
