feature,importance
Family_income_5. 96 to 100 percentile,-0.7180532868936458
VCF0721_2. Yes (includes 'tax check-off' in 1976),-0.6256806229628624
Age,-0.5502957542930668
Party_id7_7. Strong Republican,-0.43788055469844195
"approve_pres_strength_4. Disapprove, strongly",-0.3606077840903
VCF0130_1. Every week (Except 1970: almost every week),-0.3396594642794471
VCF0717_2. Yes,-0.3296743669973283
Interest_elections_3. Very much interested,-0.3268993582603995
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",-0.30387402418892184
Party_id3_3. Republicans (including leaners),-0.2852795041847839
authoritarian2_2. Both (VOL),-0.28081797663175856
Party_id7_1. Strong Democrat,-0.27221757870010893
Party_id3_1. Democrats (including leaners),-0.26665127402452937
authoritarian1_1. Curiosity,-0.255733309028984
South_2. Nonsouth,-0.24288648340001506
