feature,importance
education7_6. BA level degrees,-1.3219156368298384
VCF0130_3. Once or twice a month,-0.7443822853296403
"VCF9030c_1. Yes, contact by Republican party",-0.6310469670133364
VCF0720_2. Yes,-0.6138800423975149
"region_3. South (AL, AR, DE, D.C., FL, GA, KY, LA, MD, MS, NC",-0.5227865571393074
therm_Blacks,-0.49620622183885094
VCF9028_1. Democratic Pres. candidate,-0.46010155042576883
Will_PresElectionClose_1. Will win by quite a bit,-0.45816959564173854
have_healthInsurance_1. Yes,-0.4458767199434227
Interest_elections_3. Very much interested,-0.4257820010118145
Age,-0.3608006316843131
volunteer_1. Yes,-0.2845169709918397
approve_president_economy_5. Disapprove strongly,-0.2628357422728276
VCF9030_7. No contact,-0.2531468642099478
"VCF9030a_1. Yes, contact by major party",-0.2407580912223864
