feature,importance
therm_RepParty,-1.278548594381866
VCF9028_2. Republican Pres. candidate,-0.7157341559663506
Party_id3_3. Republicans (including leaners),-0.624748095595203
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.5973632313922131
satisfactionDemocracy_4. Not at all satisfied,-0.5593263365310123
therm_conservatives,-0.496247977813079
"VCF9030_4. Yes, contact: other",-0.4729732595610674
howOftenTrust_1. Always,-0.4593632324369681
blackInfluence_Politics_1. Too much influence,-0.44442193525010165
sex_orientation_2. Bisexual,-0.38923704062470776
ideology7_6. Conservative,-0.3778058988531499
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.31975390291073313
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.31975390291073313
Party_id7_7. Strong Republican,-0.31928403521492404
approve_president_economy_5. Disapprove strongly,-0.27568645147313414
