feature,importance
therm_RepParty,-1.2897046833476113
VCF9028_2. Republican Pres. candidate,-0.7375277542182724
Party_id3_3. Republicans (including leaners),-0.6222720292492285
VCF0890_3.   Decreased (before 2012: or cut out entirely),-0.5673941367634411
satisfactionDemocracy_4. Not at all satisfied,-0.5537346026479822
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,-0.5307865968725289
therm_conservatives,-0.5047860988275354
"VCF9030_4. Yes, contact: other",-0.46751744678857393
blackInfluence_Politics_1. Too much influence,-0.43334669216434596
howOftenTrust_1. Always,-0.4158733792475656
ideology7_6. Conservative,-0.38024262459981917
sex_orientation_2. Bisexual,-0.35438779661407926
"education7_4. 12 grades, diploma or equivalency plus non-academic",-0.3383363700060382
"education6_4. 12 grades, diploma or equivalency plus non-academic",-0.3383363700060382
Party_id7_7. Strong Republican,-0.30935211321395395
