feature,importance
Party_id3_1. Democrats (including leaners),1.3990805692224042
Family_income_1. 0 to 16 percentile,1.2648309209789566
therm_DemParty,1.1657535622095263
therm_liberals,1.0717261246561478
Party_id7_1. Strong Democrat,0.843490033759743
howOftenTrust_2. Most of the time,0.6351598135560865
blackInfluence_Politics_3. Too little influence,0.5664853959449415
Year,0.5256907719148605
powerDifference_unmatched category,0.503622333406414
Interest_elections_1. Not much interested,0.49909599293457096
volunteer_2. No,0.4317164736576623
Family_income_2. 17 to 33 percentile,0.40745081887788903
VCF0130_4. A few times a year,0.35371814609282126
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.3375726603659014
VCF9029_3. Win by quite a bit,0.2931474095759997
