feature,importance
therm_Christians,-0.13927242922405175
therm_Mislims,-0.030007562920485446
therm_ChrFundament,-0.08432078105033916
therm_hispanics,0.22926492787118674
therm_RepParty,-0.49317704146185104
therm_DemParty,0.5676076998620512
therm_Whites,0.1774983052140662
therm_liberals,0.1494819774452618
therm_conservatives,-0.5739581827443838
therm_Blacks,-0.19771858035062512
Age,0.19129812852562064
Year,-0.2582485389086403
howOftenTrust_Missing,0.0
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,-0.03069393905529565
howOftenTrust_3. About half the time,0.025322475714903613
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.08371440083454106
follow_political_info_3. About half the time,0.024129171020402563
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.1277732307035234
bisexalFamilyorFriends_Missing,-0.02487585607973099
bisexalFamilyorFriends_1. Yes,0.19477812255835347
bisexalFamilyorFriends_2. No,0.0
blackInfluence_Politics_Missing,-0.006815245648966457
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.1478593298901877
blackInfluence_Politics_3. Too little influence,0.6147039052574482
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.017374729661462168
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,-0.0059980627685373026
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,0.0475960762871485
votingMakedifference_Missing,-0.005889236371732711
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,-0.016938394472885455
votingMakedifference_unmatched category,0.009788607813499191
votingMakedifference_5. Can make a big difference,0.0
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.05875596174192997
satisfactionLife_3. Moderately satisfied,0.2689609232756986
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.004898253417677845
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.08396901923228303
satisfactionDemocracy_2. Fairly satisfied,-0.02228982761184178
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.021179096800713813
meetingCommuntySchool_2. No,-0.11413261669310967
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.012778890976838542
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,0.0
have_healthInsurance_2. No,0.0
authoritarian2_Missing,-0.022142209651308926
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),0.0
authoritarian2_3. Self-reliance,0.07485780206775913
authoritarian4_Missing,-0.017921479158510747
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.019292789079103707
authoritarian1_Missing,-0.017921479158510747
authoritarian1_1. Curiosity,0.0272319932907933
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,0.0
authoritarian3_Missing,-0.017921479158510747
authoritarian3_1. Being considerate,0.060153295836166035
authoritarian3_2. Both (VOL),0.030445977085091065
authoritarian3_3. Well behaved,-0.03295551257651936
VCF0886_Missing,-0.18179794171425145
VCF0886_1.   Increased,0.26905052066035573
VCF0886_2.   Same,0.045129861687593274
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0886_8.   DK,0.0
volunteer_Missing,-0.16469657063636783
volunteer_1. Yes,0.10999096354542195
volunteer_2. No,0.13714352530073923
VCF0890_Missing,-0.12333139297136413
VCF0890_1.   Increased,0.07992278826246924
VCF0890_2.   Same,0.2617410033564976
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0890_8.   DK,0.0
VCF9029_Missing,-0.8277349107395814
VCF9029_1. Close race,-0.03595877738092195
VCF9029_3. Win by quite a bit,0.22074701073110772
VCF9029_8. DK; depends,0.7583846708681685
approve_president_economy_Missing,0.023473888807721794
approve_president_economy_1. Approve strongly,-0.13078414049494752
approve_president_economy_2. Approve not strongly,0.023157377149416805
approve_president_economy_4. Disapprove not strongly,0.10358760420079234
approve_president_economy_5. Disapprove strongly,0.03730922629612535
approve_president_economy_8. DK if approve/disapprove strongly or not strongly;,0.0
VCF9031_Missing,-0.35046549467760185
VCF9031_1. Yes,0.22876283445428575
VCF9031_5. No,0.0
approve_pres_strength_Missing,0.09930512808557934
"approve_pres_strength_1. Approve, strongly",0.26004972262926096
"approve_pres_strength_2. Approve, not strongly",-0.14787683331139334
"approve_pres_strength_3. Disapprove, not strongly",0.0951342998039445
"approve_pres_strength_4. Disapprove, strongly",-0.22997792480392185
approve_pres_strength_8. DK,0.0
VCF9028_Missing,0.7421860964587508
VCF9028_1. Democratic Pres. candidate,0.9080806234434057
VCF9028_2. Republican Pres. candidate,-1.305699080892488
VCF9028_3. Other Pres. candidate,0.0
VCF9028_8. DK,-0.19360379177031942
approve_pres_Missing,-0.004998860481657168
approve_pres_1. Approve,-0.904507515411588
approve_pres_2. Disapprove,0.969562992683765
approve_pres_8. DK,0.0382699929606087
ideology7_Missing,0.03044746502293199
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,-0.2930121411312952
ideology7_3. Slightly liberal,0.0
"ideology7_4. Moderate, middle of the road",0.14633312761878478
ideology7_5. Slightly conservative,-0.03866300920891781
ideology7_6. Conservative,-0.8850141651196088
ideology7_7. Extremely conservative,0.07908636852673862
ideology7_9. DK; haven't thought much about it,0.23318230207069007
VCF0130_Missing,0.4325881957880098
VCF0130_1. Every week (Except 1970: almost every week),-0.28693877115194455
VCF0130_2. Almost every week (no cases in 1970),-0.31720885132518617
VCF0130_3. Once or twice a month,0.41944444000332864
VCF0130_4. A few times a year,-0.470079300610981
VCF0130_5. Never (1990 and later: 'No' in filter),0.524866780880895
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_Missing,0.1970151214286997
Will_PresElectionClose_1. Will win by quite a bit,0.1008022831141635
Will_PresElectionClose_2. Close race,-0.03178414281290043
Will_PresElectionClose_9. DK; pro-con; depends; etc.,-0.0873469073066642
VCF9030c_Missing,0.0
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.0790586232945034
VCF9030b_Missing,0.0
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.3190087455751494
VCF9030a_Missing,-0.005299924432606683
"VCF9030a_1. Yes, contact by major party",0.12672843978137027
VCF9030a_2. No contact by major party,0.0
VCF9030_Missing,-0.005299924432606683
"VCF9030_1. Yes, contact: Democratic party",0.17384698116718883
"VCF9030_2. Yes, contact: Republican party",0.3764723270469681
"VCF9030_3. Yes, contact: both major parties",-0.5244658847879143
"VCF9030_4. Yes, contact: other",0.0
"VCF9030_5. Yes, contact: DK which party",0.0
VCF9030_7. No contact,0.0
