feature,importance
therm_DemParty,1.3532440435781279
Party_id3_1. Democrats (including leaners),1.3314658075920642
Party_id7_1. Strong Democrat,0.9422179682797698
therm_liberals,0.8298448593576883
VCF0130_4. A few times a year,0.6732592120433878
therm_Mislims,0.5911348342733581
"approve_pres_strength_4. Disapprove, strongly",0.5449634196694024
VCF0130_3. Once or twice a month,0.4230711613795778
ideology7_3. Slightly liberal,0.3932201990545458
howOftenTrust_3. About half the time,0.37502782156266595
"education6_3. 12 grades, diploma or equivalency",0.3733124056035824
"education7_3. 12 grades, diploma or equivalency",0.3733124056035824
have_healthInsurance_1. Yes,0.35912958218396085
VCF0890_1.   Increased,0.35395660271451296
Age,0.3466559533367109
