feature,importance
therm_RepParty,-1.392249142088715
Party_id3_3. Republicans (including leaners),-1.2739314523239338
VCF0890_3.   Decreased (before 2012: or cut out entirely),-1.0406212195206934
VCF9028_2. Republican Pres. candidate,-1.0143774249761002
therm_conservatives,-0.8760745980805907
Party_id7_7. Strong Republican,-0.8021570971629082
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.7364074784821182
Interest_elections_1. Not much interested,-0.725795700058082
approve_pres_1. Approve,-0.6104457354500684
religion_1. Protestant,-0.5946967546900309
VCF0130_4. A few times a year,-0.4486253167342499
approve_president_economy_4. Disapprove not strongly,-0.43243911672596935
VCF9031_1. Yes,-0.4280539852807568
VCF0717_1. No,-0.42198719163904197
workedWithcommunity_1. Yes,-0.42025173754273715
