feature,importance
Party_id3_3. Republicans (including leaners),-1.559828709264167
therm_RepParty,-1.4424419863733848
VCF9028_2. Republican Pres. candidate,-1.0591066842601387
"approve_pres_strength_4. Disapprove, strongly",-0.9690835643474685
VCF0130_2. Almost every week (no cases in 1970),-0.8327438097933164
ideology7_6. Conservative,-0.7527668568574214
therm_ChrFundament,-0.6094501547533587
meetingCommuntySchool_2. No,-0.6086674789741979
therm_conservatives,-0.5368680780117648
education6_1. 8 grades or less ('grade school'),-0.517272829777788
education7_1. 8 grades or less ('grade school'),-0.517272829777788
approve_president_economy_5. Disapprove strongly,-0.45424801682812604
VCF0720_2. Yes,-0.4537363073895368
blackInfluence_Politics_1. Too much influence,-0.3883149898931316
Party_id7_5. Independent - Republican,-0.32377588289065223
