feature,importance
therm_DemParty,1.2335658365441762
"approve_pres_strength_2. Approve, not strongly",1.1345671917180526
VCF9028_1. Democratic Pres. candidate,0.9924628758028614
Party_id3_1. Democrats (including leaners),0.9520545747403288
Year,0.857075290974354
therm_liberals,0.7059456737630857
therm_Mislims,0.6848688869241977
"Race7_3. Asian or Pacific Islander, non-Hispanic (1966-2012)",0.644302463071001
howOftenTrust_5. Never,0.5925445906946049
Race3_2. Black non-Hispanic,0.591247743403879
Race4_2. Black non-Hispanic,0.591247743403879
Race7_2. Black non-Hispanic (1948-2012),0.591247743403879
powerDifference_unmatched category,0.5876120488601707
"VCF9030c_1. Yes, contact by Republican party",0.5578515134726443
have_healthInsurance_1. Yes,0.5317232836446704
