feature,importance
Party_id3_3. Republicans (including leaners),-1.65368262215951
"approve_pres_strength_3. Disapprove, not strongly",-1.4955217872508988
have_healthInsurance_2. No,-1.4484480252839191
therm_RepParty,-1.3414213821476566
follow_political_info_1. Always,-0.8353452079454554
VCF9028_2. Republican Pres. candidate,-0.7670677634904466
education7_7. Advanced degrees incl. LLB,-0.6933009283546308
therm_conservatives,-0.6545473844457919
"Education4_2. High school (12 grades or fewer, incl. non-college",-0.6331142807165648
approve_pres_1. Approve,-0.5840169538047076
satisfactionLife_2. Very satisfied,-0.5773862064098679
Party_id7_7. Strong Republican,-0.5556193890582659
howOftenTrust_4. Once in a while,-0.5322563860382482
satisfactionDemocracy_2. Fairly satisfied,-0.5067392423761785
Race7_1. White non-Hispanic (1948-2012),-0.5042127256425701
