feature,importance
therm_Christians,0.0
therm_Mislims,0.2835837488035186
therm_ChrFundament,-0.3468021797245335
therm_hispanics,0.1714225471721404
therm_RepParty,-0.8471390279198756
therm_DemParty,1.2973018851519744
therm_Whites,0.0
therm_liberals,0.481991391315003
therm_conservatives,-0.1629709436443571
therm_Blacks,0.0067326075406170475
Age,-0.031744907347173855
Year,0.2362297314960351
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,-0.027353614666097127
howOftenTrust_3. About half the time,0.02672600120580687
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,-0.01670642175483726
follow_political_info_3. About half the time,0.0
follow_political_info_4. Some of the time,-0.04458957084883379
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.0
bisexalFamilyorFriends_2. No,0.015569912519176726
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.04471712731412912
blackInfluence_Politics_3. Too little influence,0.7261122969385139
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,-0.11648235336711146
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
sex_orientation_unmatched category,0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,-0.00193048727166647
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.4238876103014097
powerDifference_unmatched category,0.0
powerDifference_5. It makes a big difference who is in power,-0.05482807232777992
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_5. Can make a big difference,0.022302300865576836
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,0.0
satisfactionLife_2. Very satisfied,-0.040697062574540074
satisfactionLife_3. Moderately satisfied,0.011175784529855235
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.011560983649194473
living_withFamily_2. No,-0.0067230925058945875
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,-0.03191679620396456
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,0.0
have_healthInsurance_1. Yes,-0.13325155098297484
have_healthInsurance_2. No,0.04926893706699731
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,0.0
authoritarian2_2. Both (VOL),-0.048391210963877704
