feature,importance
ideology7_1. Extremely liberal,-1.1229613287924431
therm_RepParty,-1.094985784519197
Family_income_5. 96 to 100 percentile,-0.9667427699594942
Party_id7_7. Strong Republican,-0.9137091285638121
approve_pres_1. Approve,-0.8903894300409251
approve_president_economy_1. Approve strongly,-0.8688399537324025
Party_id3_3. Republicans (including leaners),-0.798733425124827
satisfactionDemocracy_4. Not at all satisfied,-0.7420043773047167
therm_conservatives,-0.6694105083710256
authoritarian3_2. Both (VOL),-0.6676934025425932
satisfactionLife_4. Slightly satisfied,-0.6231667250351811
"approve_pres_strength_4. Disapprove, strongly",-0.6219220487064597
VCF9028_2. Republican Pres. candidate,-0.6153034715640169
powerDifference_unmatched category,-0.5529830753564401
religion_1. Protestant,-0.5335751082904062
