feature,importance
Party_id3_1. Democrats (including leaners),1.383566422799179
approve_pres_2. Disapprove,0.9872945524696763
"approve_pres_strength_2. Approve, not strongly",0.940332883849953
Party_id7_1. Strong Democrat,0.9229781469509586
VCF9028_1. Democratic Pres. candidate,0.8894778085459556
follow_political_info_1. Always,0.832477830748821
living_withFamily_2. No,0.6858342372579804
therm_DemParty,0.6695082741285461
sex_orientation_3. Homosexual or gay (or lesbian),0.6313128015668401
VCF0890_1.   Increased,0.5264012086667256
blackInfluence_Politics_3. Too little influence,0.5256260152375839
Race4_2. Black non-Hispanic,0.5202801798861207
Race3_2. Black non-Hispanic,0.5202801798861207
Race7_2. Black non-Hispanic (1948-2012),0.5202801798861207
ideology7_3. Slightly liberal,0.5108533124859331
