feature,importance
therm_liberals,1.267539911726585
therm_DemParty,0.8192967007581119
Party_id3_1. Democrats (including leaners),0.4182401177284169
blackInfluence_Politics_3. Too little influence,0.18528122140480957
therm_hispanics,0.14485060605129277
living_withFamily_1. Yes,0.06274137951467666
"ideology7_4. Moderate, middle of the road",0.052953177543337136
Age,0.04872694034437716
approve_president_economy_2. Approve not strongly,0.0486936284035732
Party_id7_3. Independent - Democrat,0.04597908903258958
therm_Blacks,0.03625565633928684
satisfactionLife_3. Moderately satisfied,0.0310757971275367
therm_Mislims,0.029108927682920706
VCF9029_3. Win by quite a bit,0.016826003498069307
Family_income_4. 68 to 95 percentile,0.011949937351545174
