feature,importance
therm_DemParty,0.6783066725272777
bisexalFamilyorFriends_1. Yes,0.4569191801780684
blackInfluence_Politics_3. Too little influence,0.2861238898836241
votingMakedifference_unmatched category,0.18634332286095606
satisfactionDemocracy_2. Fairly satisfied,0.18488802811962302
Age,0.1490573481113761
VCF0890_1.   Increased,0.1453936838074862
VCF0886_1.   Increased,0.10039230208651988
Year,0.08299767304100343
follow_political_info_2. Most of the time,0.07936606623139893
VCF0717_2. Yes,0.04915945055789468
VCF9028_1. Democratic Pres. candidate,0.04859048505936271
volunteer_2. No,0.04815342137321492
authoritarian1_1. Curiosity,0.03985988343392753
Party_id3_1. Democrats (including leaners),0.02040948052843505
