feature,importance
Party_id3_1. Democrats (including leaners),1.6116130260772024
VCF9028_1. Democratic Pres. candidate,1.0407904730892725
therm_DemParty,0.9851079797602511
Party_id7_1. Strong Democrat,0.7905316572935378
Party_id7_3. Independent - Democrat,0.7216020083698979
ideology7_3. Slightly liberal,0.6473974595956384
approve_pres_2. Disapprove,0.6277562592747348
education7_1. 8 grades or less ('grade school'),0.5592021487104911
education6_1. 8 grades or less ('grade school'),0.5592021487104911
howOftenTrust_3. About half the time,0.5578414970814038
therm_Mislims,0.5359850872990501
therm_liberals,0.5125266422534225
"VCF9030_1. Yes, contact: Democratic party",0.4901423653422892
authoritarian3_3. Well behaved,0.4694689265370723
volunteer_2. No,0.46325434201906557
