feature,importance
therm_RepParty,-1.121139325370699
therm_conservatives,-0.724883185449801
Party_id3_3. Republicans (including leaners),-0.7139577579906773
therm_Whites,-0.4995189721118489
ideology7_6. Conservative,-0.3961744146131363
religion_1. Protestant,-0.31945371549500645
"approve_pres_strength_1. Approve, strongly",-0.24865715315050715
"Race4_4. Other or multiple races, non-Hispanic",-0.24165834451899548
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),-0.24165834451899548
approve_pres_1. Approve,-0.23468621623143404
"education6_3. 12 grades, diploma or equivalency",-0.21014628370830177
"education7_3. 12 grades, diploma or equivalency",-0.21014628370830177
therm_Mislims,-0.2083775141652003
approve_president_economy_2. Approve not strongly,-0.20356695734824387
VCF9028_2. Republican Pres. candidate,-0.1763445550233763
