feature,importance
therm_RepParty,-0.7198646212546586
therm_conservatives,-0.181661252384066
VCF0720_1. No,0.0
"VCF9030c_1. Yes, contact by Republican party",0.0
VCF9030c_2. No contact by Republican party,0.0
"VCF9030b_1. Yes, contact by Democratic party",0.0
VCF9030b_2. No contact by Democratic party,0.0
"VCF9030a_1. Yes, contact by major party",0.0
VCF9030a_2. No contact by major party,0.0
"VCF9030_3. Yes, contact: both major parties",0.0
VCF9030_7. No contact,0.0
Will_PresElectionClose_2. Close race,0.0
VCF0720_2. Yes,0.0
Family_income_1. 0 to 16 percentile,0.0
Family_income_3. 34 to 67 percentile,0.0
