feature,importance
therm_DemParty,1.3535700310381777
Party_id3_1. Democrats (including leaners),1.3328742911046074
therm_liberals,1.0925100859610184
VCF9028_1. Democratic Pres. candidate,1.0054286229511173
satisfactionDemocracy_2. Fairly satisfied,0.932509008877088
ideology7_2. Liberal,0.8013189141278616
Family_income_1. 0 to 16 percentile,0.7456121899819885
bisexalFamilyorFriends_1. Yes,0.655334130600521
"approve_pres_strength_2. Approve, not strongly",0.6393630388987132
Party_id7_2. Weak Democrat,0.48406185504735594
blackInfluence_Politics_3. Too little influence,0.46769266953282146
satisfactionLife_2. Very satisfied,0.41462381808834275
therm_Mislims,0.3541556354549723
howOftenTrust_4. Once in a while,0.3437791953953791
Party_id7_6. Weak Republican,0.3102973665408915
