feature,importance
therm_DemParty,1.2653787823913383
therm_liberals,0.9190769376582623
Party_id3_1. Democrats (including leaners),0.15878931178457348
Year,0.09244337006677092
VCF0130_5. Never (1990 and later: 'No' in filter),0.071173311648183
VCF0886_1.   Increased,0.048626286501229375
Family_income_3. 34 to 67 percentile,0.04753434562692264
VCF9028_1. Democratic Pres. candidate,0.044103612014963336
VCF9029_3. Win by quite a bit,0.04222859052285094
volunteer_2. No,0.036665777720319793
Age,0.036338514019572804
therm_Mislims,0.03593224031163331
VCF0890_1.   Increased,0.025019067080051877
satisfactionDemocracy_2. Fairly satisfied,0.02102565928587583
therm_Blacks,0.02033811224952127
