feature,importance
Party_id3_1. Democrats (including leaners),1.7661470796499104
VCF0890_1.   Increased,0.9160828095072718
Party_id7_1. Strong Democrat,0.8305353712222517
VCF9028_1. Democratic Pres. candidate,0.6373944864721194
therm_DemParty,0.6323304998126243
therm_hispanics,0.5215501381670553
blackInfluence_Politics_3. Too little influence,0.5142807733998228
approve_pres_2. Disapprove,0.507515970115616
authoritarian3_3. Well behaved,0.4619146870366067
satisfactionDemocracy_3. Not very satisfied,0.41222045167256427
"VCF9030a_1. Yes, contact by major party",0.3792496455142617
approve_president_economy_5. Disapprove strongly,0.3521485614436852
VCF9029_3. Win by quite a bit,0.29553787587524033
"ideology7_4. Moderate, middle of the road",0.2825205603007596
satisfactionLife_3. Moderately satisfied,0.2713512058729383
