feature,importance
therm_Christians,-0.2306549132484296
therm_Mislims,0.23350570718513092
therm_ChrFundament,-0.30223070818784104
therm_hispanics,0.03820895770130696
therm_RepParty,-1.3005195969391345
therm_DemParty,1.6040276263780187
therm_Whites,0.14438179064783493
therm_liberals,0.40771516053973966
therm_conservatives,-0.3359316477746178
therm_Blacks,-0.07178876435777576
Age,0.12932850102635338
Year,0.22172171811342495
howOftenTrust_1. Always,0.0
howOftenTrust_2. Most of the time,0.735414400304777
howOftenTrust_3. About half the time,-0.3353546268561103
howOftenTrust_4. Once in a while,0.052600511985009236
howOftenTrust_5. Never,-0.1843222865328514
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.3580836365709067
follow_political_info_3. About half the time,-0.013216337388294142
follow_political_info_4. Some of the time,-0.15905884690791777
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_1. Yes,0.47144789309718427
bisexalFamilyorFriends_2. No,-0.23053710005364833
blackInfluence_Politics_1. Too much influence,-0.008432296659418416
blackInfluence_Politics_2. Just about the right amount,0.01687817917650933
blackInfluence_Politics_3. Too little influence,0.08491247955562968
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_1. It doesn't make a difference who is in power,-0.00470723206449606
powerDifference_unmatched category,-0.07704094296991014
powerDifference_unmatched category,0.22870282361142436
powerDifference_unmatched category,0.3692060347648108
powerDifference_5. It makes a big difference who is in power,0.0017320298985011918
votingMakedifference_1. Won't make a difference,-0.3168417426244752
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.10410351454792295
votingMakedifference_unmatched category,0.40991152971829037
votingMakedifference_5. Can make a big difference,-0.09155470996288231
satisfactionLife_1. Extremely satisfied,0.13481438591560835
satisfactionLife_2. Very satisfied,-0.49259553313221405
satisfactionLife_3. Moderately satisfied,-0.023261549824937576
satisfactionLife_4. Slightly satisfied,0.029767242892055023
satisfactionLife_5. Not satisfied at all,0.08719546007181445
living_withFamily_1. Yes,-0.05204556775542636
living_withFamily_2. No,0.19383782454991672
satisfactionDemocracy_1. Very satisfied,1.108901371673831
satisfactionDemocracy_2. Fairly satisfied,0.023457140018268315
satisfactionDemocracy_3. Not very satisfied,-0.32823205237299374
satisfactionDemocracy_4. Not at all satisfied,-0.04050484333825458
meetingCommuntySchool_1. Yes,0.02583708021856927
meetingCommuntySchool_2. No,-0.15120732425239364
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,-0.12400561513157612
have_healthInsurance_1. Yes,0.24652526650575415
have_healthInsurance_2. No,-0.12880916873769527
authoritarian2_1. Obedience,0.308934710910254
authoritarian2_2. Both (VOL),-0.5091254451504257
authoritarian2_3. Self-reliance,-0.05451020015292497
authoritarian4_1. Independence,0.13627173097438153
authoritarian4_2. Both (VOL),-0.10321991768492048
authoritarian4_3. Respect for elders,-0.26991365492038905
authoritarian1_1. Curiosity,0.10254994068645318
authoritarian1_2. Both (VOL),0.0
authoritarian1_3. Good manners,-0.4499868084687345
authoritarian3_1. Being considerate,-0.1270356852992996
authoritarian3_2. Both (VOL),-0.0488291575677549
authoritarian3_3. Well behaved,0.19292916008513175
VCF0886_1.   Increased,0.55342409048418
VCF0886_2.   Same,0.07948184136724883
VCF0886_3.   Decreased (before 2012: or cut out entirely),-0.1918296488595274
volunteer_1. Yes,0.04372457664408244
volunteer_2. No,0.135348729358305
VCF0890_1.   Increased,0.3383192021990449
VCF0890_2.   Same,-0.05032730267178885
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_1. Close race,-0.005778279718185722
VCF9029_3. Win by quite a bit,0.18718854374927893
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,-0.27640640121755844
approve_president_economy_4. Disapprove not strongly,0.2935154348433799
approve_president_economy_5. Disapprove strongly,-0.03744994617809512
VCF9031_1. Yes,-0.09527163209224246
VCF9031_5. No,-0.04246629108962763
"approve_pres_strength_1. Approve, strongly",0.3311120470563197
"approve_pres_strength_2. Approve, not strongly",-0.1501085077546038
"approve_pres_strength_3. Disapprove, not strongly",-0.07881658397148672
"approve_pres_strength_4. Disapprove, strongly",-0.11615120503781204
VCF9028_1. Democratic Pres. candidate,1.4076076139568379
VCF9028_2. Republican Pres. candidate,-0.9115458293207308
VCF9028_3. Other Pres. candidate,0.0
approve_pres_1. Approve,-0.0758644971583658
approve_pres_2. Disapprove,0.12219491353970047
ideology7_1. Extremely liberal,0.0
ideology7_2. Liberal,0.09223442760323249
ideology7_3. Slightly liberal,0.028065731954012258
"ideology7_4. Moderate, middle of the road",0.21619958026901678
ideology7_5. Slightly conservative,-0.36852322909747076
ideology7_6. Conservative,-0.1933859588909243
ideology7_7. Extremely conservative,0.0
VCF0130_1. Every week (Except 1970: almost every week),-0.058593907895379646
VCF0130_2. Almost every week (no cases in 1970),-0.019569009835088004
VCF0130_3. Once or twice a month,0.21710481892808592
VCF0130_4. A few times a year,-0.1540012271800373
VCF0130_5. Never (1990 and later: 'No' in filter),0.026696449947551482
VCF0130_7. No religious preference (1970-1988),0.0
Will_PresElectionClose_1. Will win by quite a bit,0.058062806814384506
Will_PresElectionClose_2. Close race,0.17521773327414628
"VCF9030c_1. Yes, contact by Republican party",-0.009517402429430801
VCF9030c_2. No contact by Republican party,-0.03788713497627948
"VCF9030b_1. Yes, contact by Democratic party",-0.06997045763094802
VCF9030b_2. No contact by Democratic party,0.0
"VCF9030a_1. Yes, contact by major party",0.04396513101781921
VCF9030a_2. No contact by major party,0.0
"VCF9030_1. Yes, contact: Democratic party",0.011110240222926903
"VCF9030_2. Yes, contact: Republican party",0.0
"VCF9030_3. Yes, contact: both major parties",-0.0671763006324901
"VCF9030_4. Yes, contact: other",0.0
VCF9030_7. No contact,0.0
VCF0720_1. No,-0.07341466165230179
VCF0720_2. Yes,0.001002433323213852
Family_income_1. 0 to 16 percentile,0.287610452999528
Family_income_2. 17 to 33 percentile,-0.26409961320687386
Family_income_3. 34 to 67 percentile,0.10812327169921483
Family_income_4. 68 to 95 percentile,-0.005435597270469855
Family_income_5. 96 to 100 percentile,-0.3162910236149098
Interest_elections_1. Not much interested,-0.05875612168875301
Interest_elections_2. Somewhat interested,-0.004843663546267966
Interest_elections_3. Very much interested,0.04083990674982132
"VCF0721_1. No (includes 'not asked for money' in 1966,1968)",-0.4806214321313341
VCF0721_2. Yes (includes 'tax check-off' in 1976),0.034581844536726324
VCF0719_1. No,-0.4189343953873417
VCF0719_2. Yes,0.03126873416686908
VCF0718_1. No,-0.05045450537741421
VCF0718_2. Yes,-0.1505114789468862
Party_id3_1. Democrats (including leaners),0.8992869579459686
Party_id3_2. Independents,0.00869160099029964
Party_id3_3. Republicans (including leaners),-1.2977463294714302
Party_id7_1. Strong Democrat,0.6518177893046212
Party_id7_2. Weak Democrat,-0.005149440707180836
Party_id7_3. Independent - Democrat,0.11271890031962795
Party_id7_4. Independent - Independent,0.00869160099029964
Party_id7_5. Independent - Republican,0.028879996082109206
Party_id7_6. Weak Republican,-0.2002927338715005
Party_id7_7. Strong Republican,-0.9696897227270537
education6_1. 8 grades or less ('grade school'),0.20692650984102895
"education6_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.000511672907058211
"education6_3. 12 grades, diploma or equivalency",-0.07955993196045313
"education6_4. 12 grades, diploma or equivalency plus non-academic",0.015476149223942526
"education6_5. Some college, no degree; junior/community college",-0.03978282206963988
education6_6. BA level degrees; advanced degrees incl. LLB,0.10558307130422914
education7_1. 8 grades or less ('grade school'),0.20692650984102895
"education7_2. 9-12 grades ('high school'), no diploma/equivalency; ; less than high school credential (2020)",-0.000511672907058211
"education7_3. 12 grades, diploma or equivalency",-0.07955993196045313
"education7_4. 12 grades, diploma or equivalency plus non-academic",0.015476149223942526
"education7_5. Some college, no degree; junior/community college",-0.03978282206963988
education7_6. BA level degrees,0.18051643656410474
education7_7. Advanced degrees incl. LLB,-0.029830878633134005
VCF0717_1. No,0.0317742051638082
VCF0717_2. Yes,-0.4637927905363977
"region_2. North Central (IL, IN, IA, KS, MI, MN, MO, NE, ND,",0.0
South_2. Nonsouth,0.0
Education4_1. Grade school or less (0-8 grades); 2020: less than high school credential,0.47907365583422157
"Education4_2. High school (12 grades or fewer, incl. non-college",0.0
Education4_3. Some college (13 grades or more but no degree;,-0.6106764429324244
Education4_4. College or advanced degree (no cases 1948),0.10558307130422914
Race3_1. White non-Hispanic,-0.30528267913650375
Race3_2. Black non-Hispanic,0.3730663460642295
Race3_3. Other,0.0
Race4_1. White non-Hispanic,-0.30528267913650375
Race4_2. Black non-Hispanic,0.3730663460642295
Race4_3. Hispanic,0.0
"Race4_4. Other or multiple races, non-Hispanic",0.0
Race7_1. White non-Hispanic (1948-2012),-0.30528267913650375
Race7_2. Black non-Hispanic (1948-2012),0.3730663460642295
"Race7_3. Asian or Pacific Islander, non-Hispanic (1966-2012)",0.0
Race7_4. American Indian or Alaska Native non-Hispanic (1966-2012),0.0
Race7_5. Hispanic (1966-2012),0.0
"Race7_6. Other or multiple races, non-Hispanic (1968-2012)",-0.023759185904201334
religion_1. Protestant,-0.4272927341381769
religion_2. Catholic [Roman Catholic],0.05143754906312055
religion_3. Jewish,0.0
Gender_1. Male,0.06834963890943016
Gender_2. Female,0.030951103474981673
