feature,importance
Year,1.370972682220914
blackInfluence_Politics_3. Too little influence,1.1485899158945796
religion_3. Jewish,1.139652132456995
therm_DemParty,0.8541391514498594
therm_liberals,0.7887543618978429
Party_id3_1. Democrats (including leaners),0.7289283346533022
VCF0886_1.   Increased,0.6897894302154647
volunteer_1. Yes,0.6360073121528717
powerDifference_unmatched category,0.6032041824914188
Party_id7_1. Strong Democrat,0.5941321657147822
ideology7_2. Liberal,0.5273981486890915
VCF9028_1. Democratic Pres. candidate,0.4761942513954497
sex_orientation_3. Homosexual or gay (or lesbian),0.39215511236049444
follow_political_info_4. Some of the time,0.35730701489480765
Interest_elections_2. Somewhat interested,0.33426205381559565
