feature,importance
Party_id3_3. Republicans (including leaners),-0.8182942933746518
therm_Christians,-0.8032631356382793
therm_RepParty,-0.7406303057984012
VCF0130_5. Never (1990 and later: 'No' in filter),-0.6211754243468142
religion_1. Protestant,-0.6110221218362362
ideology7_3. Slightly liberal,-0.5795829646351949
Party_id7_5. Independent - Republican,-0.5604438641254698
Party_id7_7. Strong Republican,-0.5128670341443738
VCF0720_1. No,-0.38876531366299427
Will_PresElectionClose_1. Will win by quite a bit,-0.3768304852994091
"ideology7_4. Moderate, middle of the road",-0.3670660447150969
therm_Whites,-0.30725920823602665
VCF9028_2. Republican Pres. candidate,-0.2927030880692086
therm_ChrFundament,-0.2798726103819535
"approve_pres_strength_3. Disapprove, not strongly",-0.2360317885539934
