feature,importance
Party_id3_1. Democrats (including leaners),1.8665085741805334
Party_id7_1. Strong Democrat,1.448444995905776
VCF9028_1. Democratic Pres. candidate,1.0207077085855567
approve_president_economy_2. Approve not strongly,0.9575160091875718
"approve_pres_strength_1. Approve, strongly",0.8502116913018283
therm_DemParty,0.7713704211748071
therm_liberals,0.6802566881886052
powerDifference_unmatched category,0.6011206959296261
VCF0886_1.   Increased,0.5998415421166012
Race3_2. Black non-Hispanic,0.5666206045127292
Race7_2. Black non-Hispanic (1948-2012),0.5666206045127292
Race4_2. Black non-Hispanic,0.5666206045127292
volunteer_1. Yes,0.47920572543134554
Age,0.46862149392971153
Party_id7_3. Independent - Democrat,0.4442683026073624
