feature,importance
therm_Christians,-0.6173192321467844
therm_Mislims,0.5236715501403888
therm_ChrFundament,-0.09497829077555975
therm_hispanics,0.3351619215088107
therm_RepParty,-1.1338957799652243
therm_DemParty,0.5467621911113677
therm_Whites,0.347796221854198
therm_liberals,0.647792869408525
therm_conservatives,-0.26131209970929503
therm_Blacks,-0.251981895539383
Age,0.13423694349765353
Year,0.13678744293421569
howOftenTrust_Missing,0.0
howOftenTrust_2. Most of the time,0.08214109905742037
howOftenTrust_3. About half the time,0.0
howOftenTrust_4. Once in a while,0.0
howOftenTrust_5. Never,0.0
follow_political_info_Missing,0.0
follow_political_info_1. Always,0.0
follow_political_info_2. Most of the time,0.0531833716972082
follow_political_info_3. About half the time,-0.010920626307595946
follow_political_info_4. Some of the time,0.0
follow_political_info_5. Never,0.0
bisexalFamilyorFriends_Missing,0.0
bisexalFamilyorFriends_1. Yes,0.16282448934578206
bisexalFamilyorFriends_2. No,-0.0017416422402145252
blackInfluence_Politics_Missing,0.0
blackInfluence_Politics_1. Too much influence,0.0
blackInfluence_Politics_2. Just about the right amount,-0.03756223312828222
blackInfluence_Politics_3. Too little influence,0.3266844180287896
sex_orientation_Missing,0.0
sex_orientation_1. Heterosexual or straight,0.0
sex_orientation_2. Bisexual,0.0
sex_orientation_3. Homosexual or gay (or lesbian),0.0
powerDifference_Missing,0.0
powerDifference_1. It doesn't make a difference who is in power,0.0
powerDifference_unmatched category,0.0
powerDifference_unmatched category,0.10125913132956701
powerDifference_unmatched category,-0.005794906263163823
powerDifference_5. It makes a big difference who is in power,-0.0549988185214621
votingMakedifference_Missing,0.0
votingMakedifference_1. Won't make a difference,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.0
votingMakedifference_unmatched category,0.15496391300681167
votingMakedifference_5. Can make a big difference,-0.10937586545061448
satisfactionLife_Missing,0.0
satisfactionLife_1. Extremely satisfied,-0.041084519322384036
satisfactionLife_2. Very satisfied,0.0
satisfactionLife_3. Moderately satisfied,0.524910775555153
satisfactionLife_4. Slightly satisfied,0.0
satisfactionLife_5. Not satisfied at all,0.0
living_withFamily_Missing,0.0
living_withFamily_1. Yes,0.0
living_withFamily_2. No,0.16959081437373605
satisfactionDemocracy_Missing,0.0
satisfactionDemocracy_1. Very satisfied,0.0
satisfactionDemocracy_2. Fairly satisfied,0.0
satisfactionDemocracy_3. Not very satisfied,0.0
satisfactionDemocracy_4. Not at all satisfied,0.0
meetingCommuntySchool_Missing,0.0
meetingCommuntySchool_1. Yes,0.0
meetingCommuntySchool_2. No,0.0
workedWithcommunity_Missing,0.0
workedWithcommunity_1. Yes,0.0
workedWithcommunity_2. No,0.0
have_healthInsurance_Missing,-0.07142099709464596
have_healthInsurance_1. Yes,0.22649130611361024
have_healthInsurance_2. No,0.0
authoritarian2_Missing,0.0
authoritarian2_1. Obedience,0.33646379961788186
authoritarian2_3. Self-reliance,-0.04576783114498368
authoritarian2_4. Neither (2020),0.0
authoritarian4_Missing,0.0
authoritarian4_1. Independence,0.0
authoritarian4_2. Both (VOL),0.0
authoritarian4_3. Respect for elders,0.0
authoritarian1_Missing,0.0
authoritarian1_1. Curiosity,-0.012489851699147379
authoritarian1_2. Both (VOL),0.01036251088249937
authoritarian1_3. Good manners,0.010227899213364672
authoritarian3_Missing,0.0
authoritarian3_1. Being considerate,0.0
authoritarian3_2. Both (VOL),0.01036251088249937
authoritarian3_3. Well behaved,0.0
VCF0886_Missing,-0.0022821372213540684
VCF0886_1.   Increased,-0.05158461127336557
VCF0886_2.   Same,0.12108428028682565
VCF0886_3.   Decreased (before 2012: or cut out entirely),0.0
VCF0886_8.   DK,0.0
volunteer_Missing,0.0
volunteer_1. Yes,0.10761416649980711
volunteer_2. No,-0.12375814289066897
VCF0890_Missing,-0.0022821372213540684
VCF0890_1.   Increased,-0.14508798411360688
VCF0890_2.   Same,0.3520215962915306
VCF0890_3.   Decreased (before 2012: or cut out entirely),0.0
VCF9029_Missing,-0.0008094959095602438
VCF9029_1. Close race,0.20406057613085302
VCF9029_3. Win by quite a bit,-0.8960338089454456
VCF9029_8. DK; depends,0.1659134578395759
approve_president_economy_Missing,-0.0022821372213540684
approve_president_economy_1. Approve strongly,0.0
approve_president_economy_2. Approve not strongly,0.0
