feature,importance
Party_id3_1. Democrats (including leaners),1.2069966288059943
VCF9028_1. Democratic Pres. candidate,0.8737093997077299
therm_liberals,0.7137822424486452
VCF9029_3. Win by quite a bit,0.6567796466467002
"approve_pres_strength_1. Approve, strongly",0.5508648784572777
Party_id7_1. Strong Democrat,0.48087539326214135
therm_Blacks,0.439151445604791
therm_DemParty,0.4261276440295864
Year,0.3570108271370063
therm_Mislims,0.3372726913120368
VCF0130_5. Never (1990 and later: 'No' in filter),0.20868441940780968
approve_president_economy_1. Approve strongly,0.195374137180559
approve_pres_1. Approve,0.16370869908528124
Family_income_2. 17 to 33 percentile,0.16356534528769395
workedWithcommunity_2. No,0.15861571790916676
